主旨,開始日期,星期,開始時間,結束日期,結束時間,全天,提醒開啟關閉,提醒日期,提醒時間,會議召集人,出席者,列席者,會議資源,地點,私人,津貼,帳目資訊,敏感度,描述,優先順序,類別,顯示時間為,說明
"[Otolarynglolgy]:Ent_08, Otoneurology,丁冠中",9/14/2023,四,14:20,9/14/2023,15:10,FALSE,FALSE,9/22/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,丁冠中
"[Nuclear medicine]:Intro_lec_09, Molecular Nuclear medicine,諶鴻遠",9/14/2023,四,15:30,9/14/2023,16:20,FALSE,FALSE,9/22/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,諶鴻遠
"[Nuclear medicine]:Intro_lec_10, Clinical  Nuclear medicine,王昱豐",9/14/2023,四,16:30,9/14/2023,17:20,FALSE,FALSE,9/22/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,王昱豐
"[Introduction to Surgery]:Intro_lec_23, Surgical Critical Care,陳柏霖",9/15/2023,五,8:00,9/15/2023,8:50,FALSE,FALSE,9/23/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,陳柏霖
"[Introduction to Surgery]:Intro_lec_24, Pediatric Surgery,蔡昕霖",9/15/2023,五,9:00,9/15/2023,9:50,FALSE,FALSE,9/23/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,蔡昕霖
"[Imaging Diagnosis]:Intro_lec_34, Imagings of heart and vessels,吳銘庭",9/15/2023,五,10:10,9/15/2023,11:00,FALSE,FALSE,9/23/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,吳銘庭
"[Imaging Diagnosis]:Intro_lec_35, Imagings of heart and vessels,吳銘庭",9/15/2023,五,11:10,9/15/2023,12:00,FALSE,FALSE,9/23/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,吳銘庭
"[Pharmacology]:Intro_lec_36, Lipid-lowering drugs,李新城",9/15/2023,五,13:20,9/15/2023,14:10,FALSE,FALSE,9/23/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李新城
"[Pharmacology]:Intro_lec_37, Agents used in disorders of blood,李新城",9/15/2023,五,14:20,9/15/2023,15:10,FALSE,FALSE,9/23/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李新城
"[PAS]:PAS_02, 醫療與社會(A時段),-",9/19/2023,二,8:00,9/19/2023,8:50,FALSE,FALSE,9/27/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[PAS]:PAS_02, 醫療與社會(A時段),-",9/19/2023,二,9:00,9/19/2023,9:50,FALSE,FALSE,9/27/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[Pathology&Laboratory]:CV_lec_53, Blood vessels,許志怡",9/19/2023,二,13:20,9/19/2023,14:10,FALSE,FALSE,9/27/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,許志怡
"[Pathology&Laboratory]:CV_lec_54, Hemodynamic, Thrombosis and Shock,梁文議",9/19/2023,二,14:20,9/19/2023,15:10,FALSE,FALSE,9/27/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,梁文議
"[Pathology&Laboratory]:CV_lec_55, The heart,張富邦",9/19/2023,二,15:30,9/19/2023,16:20,FALSE,FALSE,9/27/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,張富邦
"[Pathology&Laboratory]:CV_lec_56, The heart,張富邦",9/19/2023,二,16:30,9/19/2023,17:20,FALSE,FALSE,9/27/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,張富邦
"[Clinical Skill]:Intro_lec_22, 臨床醫學簡介區段考試,醫學系助教",9/20/2023,三,10:10,9/20/2023,11:00,FALSE,FALSE,9/28/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,醫學系助教
"[Clinical Skill]:Intro_lec_22, 臨床醫學簡介區段考試,醫學系助教",9/20/2023,三,11:10,9/20/2023,12:00,FALSE,FALSE,9/28/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,醫學系助教
"[Otolarynglolgy]:Ent_09, Diseases of External Ear and Middle Ear,王懋哲",9/20/2023,三,13:20,9/20/2023,14:10,FALSE,FALSE,9/28/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,王懋哲
"[Otolarynglolgy]:Ent_10, Diseases of External Ear and Middle Ear,王懋哲",9/20/2023,三,14:20,9/20/2023,15:10,FALSE,FALSE,9/28/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,王懋哲
"[Cardiovascular medicine]:CV_lec_01, Introduction to General Cardiology,陳震寰",9/21/2023,四,9:00,9/21/2023,9:50,FALSE,FALSE,9/29/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,陳震寰
"[Cardiovascular medicine]:CV_lec_03, Pericardial Diseases,胡瑜峰",9/21/2023,四,10:10,9/21/2023,11:00,FALSE,FALSE,9/29/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,胡瑜峰
"[Imaging Diagnosis]:CV_lec_14, Ultrasonography Application in whole abdomen,周宜宏",9/21/2023,四,11:10,9/21/2023,12:00,FALSE,FALSE,9/29/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,周宜宏
"[Otolarynglolgy]:Ent_17, Anatomy and Physiology of Nose and Paranasal Sinuses,黃毓雯",9/21/2023,四,13:20,9/21/2023,14:10,FALSE,FALSE,9/29/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃毓雯
"[Otolarynglolgy]:Ent_18, Anatomy and Physiology of Nose and Paranasal Sinuses,黃毓雯",9/21/2023,四,14:20,9/21/2023,15:10,FALSE,FALSE,9/29/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃毓雯
"[Cardiovascular medicine]:CV_lec_29, Clinical skill總論-全身健檢,黃柏勳",9/21/2023,四,15:30,9/21/2023,16:20,FALSE,FALSE,9/29/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃柏勳
"[Cardiovascular medicine]:CV_lec_27, SKILL-循環系統臨床技巧,黃少嵩",9/21/2023,四,16:30,9/21/2023,17:20,FALSE,FALSE,9/29/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃少嵩
"[Cardiovascular medicine]:CV_lec_32, 心電圖判讀(I),余文鍾",9/22/2023,五,9:00,9/22/2023,9:50,FALSE,FALSE,9/30/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,余文鍾
"[Cardiovascular medicine]:CV_lec_33, 心電圖判讀(II),張俊欽",9/22/2023,五,10:10,9/22/2023,11:00,FALSE,FALSE,9/30/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,張俊欽
"[Cardiovascular medicine]:CV_lec_36, 心電圖判讀(III),林晉宇",9/22/2023,五,11:10,9/22/2023,12:00,FALSE,FALSE,9/30/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,林晉宇
PBL-CV01-I,9/22/2023,五,13:20,9/22/2023,14:10,FALSE,FALSE,9/30/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
PBL-CV01-I,9/22/2023,五,14:20,9/22/2023,15:10,FALSE,FALSE,9/30/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
"[Cardiovascular medicine]:CV_lec_17, Atherosclerosis and Ischemic Heart Disease,黃正雄",9/25/2023,一,9:00,9/25/2023,9:50,FALSE,FALSE,10/3/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃正雄
"[Cardiovascular medicine]:CV_lec_11, Hypertension,許百豐",9/25/2023,一,10:10,9/25/2023,11:00,FALSE,FALSE,10/3/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,許百豐
"[Radiotherapy]:CV_lec_06, Radiation physics, biology and radiation therapy equipments,黃品逸",9/25/2023,一,11:10,9/25/2023,12:00,FALSE,FALSE,10/3/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃品逸
PBL-CV01-II,9/25/2023,一,13:20,9/25/2023,14:10,FALSE,FALSE,10/3/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
PBL-CV01-II,9/25/2023,一,14:20,9/25/2023,15:10,FALSE,FALSE,10/3/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
PBL-CV01-II,9/25/2023,一,15:30,9/25/2023,16:20,FALSE,FALSE,10/3/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
"[PAS]:PAS_03, 醫療與社會(A時段),-",9/26/2023,二,8:00,9/26/2023,8:50,FALSE,FALSE,10/4/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[PAS]:PAS_03, 醫療與社會(A時段),-",9/26/2023,二,9:00,9/26/2023,9:50,FALSE,FALSE,10/4/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[Cardiovascular medicine]:CV_lec_04, Cardiac Arrythmia - Bradyarrythmia,段大全",9/26/2023,二,10:10,9/26/2023,11:00,FALSE,FALSE,10/4/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,段大全
"[Cardiovascular medicine]:CV_lec_21, Heart Failure,吳政億",9/26/2023,二,11:10,9/26/2023,12:00,FALSE,FALSE,10/4/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,吳政億
"[Pathology&Laboratory]:CV_lec_44, The heart,張富邦",9/26/2023,二,13:20,9/26/2023,14:10,FALSE,FALSE,10/4/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,張富邦
"[Pathology&Laboratory]:CV_lec_45, The heart,張富邦",9/26/2023,二,14:20,9/26/2023,15:10,FALSE,FALSE,10/4/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,張富邦
"[Pathology&Laboratory]:CV_lec_46, The heart,張富邦",9/26/2023,二,15:30,9/26/2023,16:20,FALSE,FALSE,10/4/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,張富邦
"[Pathology&Laboratory]:CV_lec_48, The heart,張富邦",9/26/2023,二,16:30,9/26/2023,17:20,FALSE,FALSE,10/4/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,張富邦
"[Cardiovascular medicine]:CV_lec_07, Acute coronary syndrome and coronary catheterization,盧澤民",9/27/2023,三,9:00,9/27/2023,9:50,FALSE,FALSE,10/5/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,盧澤民
"[Cardiovascular medicine]:CV_lec_09, Pulmonary Hypertension,宋思賢",9/27/2023,三,10:10,9/27/2023,11:00,FALSE,FALSE,10/5/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,宋思賢
"[Nuclear medicine]:CV_lec_08, Nuclear Cardiology,胡蓮欣",9/27/2023,三,11:10,9/27/2023,12:00,FALSE,FALSE,10/5/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,胡蓮欣
"[Otolarynglolgy]:Ent_05, Diseases of Inner Ear,黃啟原",9/27/2023,三,13:20,9/27/2023,14:10,FALSE,FALSE,10/5/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃啟原
"[Otolarynglolgy]:Ent_06, Diseases of Inner Ear,黃啟原",9/27/2023,三,14:20,9/27/2023,15:10,FALSE,FALSE,10/5/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃啟原
"[Cardiovascular medicine]:CV_lec_30, 實證醫學,鄭浩民",9/27/2023,三,15:30,9/27/2023,16:20,FALSE,FALSE,10/5/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,鄭浩民
"[Cardiovascular medicine]:CV_lec_40, Valvular Heart Disease,陳嬰華",9/27/2023,三,16:30,9/27/2023,17:20,FALSE,FALSE,10/5/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,陳嬰華
教師節(停課不停班),9/28/2023,四,8:00,9/28/2023,8:50,FALSE,FALSE,10/6/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
教師節(停課不停班),9/28/2023,四,9:00,9/28/2023,9:50,FALSE,FALSE,10/6/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
教師節(停課不停班),9/28/2023,四,10:10,9/28/2023,11:00,FALSE,FALSE,10/6/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
教師節(停課不停班),9/28/2023,四,11:10,9/28/2023,12:00,FALSE,FALSE,10/6/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
教師節(停課不停班),9/28/2023,四,13:20,9/28/2023,14:10,FALSE,FALSE,10/6/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
教師節(停課不停班),9/28/2023,四,14:20,9/28/2023,15:10,FALSE,FALSE,10/6/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
教師節(停課不停班),9/28/2023,四,15:30,9/28/2023,16:20,FALSE,FALSE,10/6/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
教師節(停課不停班),9/28/2023,四,16:30,9/28/2023,17:20,FALSE,FALSE,10/6/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
中秋節(放假一天),9/29/2023,五,8:00,9/29/2023,8:50,FALSE,FALSE,10/7/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
中秋節(放假一天),9/29/2023,五,9:00,9/29/2023,9:50,FALSE,FALSE,10/7/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
中秋節(放假一天),9/29/2023,五,10:10,9/29/2023,11:00,FALSE,FALSE,10/7/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
中秋節(放假一天),9/29/2023,五,11:10,9/29/2023,12:00,FALSE,FALSE,10/7/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
中秋節(放假一天),9/29/2023,五,13:20,9/29/2023,14:10,FALSE,FALSE,10/7/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
中秋節(放假一天),9/29/2023,五,14:20,9/29/2023,15:10,FALSE,FALSE,10/7/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
中秋節(放假一天),9/29/2023,五,15:30,9/29/2023,16:20,FALSE,FALSE,10/7/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
中秋節(放假一天),9/29/2023,五,16:30,9/29/2023,17:20,FALSE,FALSE,10/7/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
"[Cardiovascular medicine]:CV_lec_20, Cardiomyopathies & myocarditis,余文鍾",10/2/2023,一,9:00,10/2/2023,9:50,FALSE,FALSE,10/10/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,余文鍾
"[Cardiovascular medicine]:CV_lec_10, Cardiac Arrythmia - Tachyarrythmia,羅力瑋",10/2/2023,一,10:10,10/2/2023,11:00,FALSE,FALSE,10/10/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,羅力瑋
"[Cardiovascular medicine]:CV_lec_28, Cardiac Emergency and Intensive Care of Cardiac Disease,黃金洲",10/2/2023,一,11:10,10/2/2023,12:00,FALSE,FALSE,10/10/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃金洲
PBL-CV01-III,10/2/2023,一,13:20,10/2/2023,14:10,FALSE,FALSE,10/10/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
PBL-CV01-III,10/2/2023,一,14:20,10/2/2023,15:10,FALSE,FALSE,10/10/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
"[PAS]:PAS_04, 醫療與社會(A時段),-",10/3/2023,二,8:00,10/3/2023,8:50,FALSE,FALSE,10/11/2005,上午 07:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[PAS]:PAS_04, 醫療與社會(A時段),-",10/3/2023,二,9:00,10/3/2023,9:50,FALSE,FALSE,10/11/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,-
"[Cardiovascular medicine]:CV_lec_18, Congenital Heart Disease,李必昌",10/3/2023,二,10:10,10/3/2023,11:00,FALSE,FALSE,10/11/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,李必昌
"[Cardiovascular medicine]:CV_lec_23, Diseases of Aorta - aortic dissection & abdominal aortic aneurysm,許喬博",10/3/2023,二,11:10,10/3/2023,12:00,FALSE,FALSE,10/11/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,許喬博
"[Pathology&Laboratory]:Pulm_lec_46, Head and neck pathology (upper respiratory system),郭盈汝",10/3/2023,二,13:20,10/3/2023,14:10,FALSE,FALSE,10/11/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,郭盈汝
"[Pathology&Laboratory]:Pulm_lec_47, Head and neck pathology (upper respiratory system),郭盈汝",10/3/2023,二,14:20,10/3/2023,15:10,FALSE,FALSE,10/11/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,郭盈汝
"[Pathology&Laboratory]:Pulm_lec_48, Lung pathology,葉奕成",10/3/2023,二,15:30,10/3/2023,16:20,FALSE,FALSE,10/11/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,葉奕成
"[Pathology&Laboratory]:Pulm_lec_49, Lung pathology,葉奕成",10/3/2023,二,16:30,10/3/2023,17:20,FALSE,FALSE,10/11/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,葉奕成
"[Cardiovascular medicine]:CV_lec_22, Hypotension and Syncope,鐘法博",10/4/2023,三,9:00,10/4/2023,9:50,FALSE,FALSE,10/12/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,鐘法博
"[Cardiovascular medicine]:CV_lec_12, Deep Vein Thrombosis & Pulmonary Embolism,吳承學",10/4/2023,三,10:10,10/4/2023,11:00,FALSE,FALSE,10/12/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,吳承學
"[Cardiovascular medicine]:CV_lec_35, PBL-CV01-Case Wrapup,廖若男",10/4/2023,三,11:10,10/4/2023,12:00,FALSE,FALSE,10/12/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,廖若男
"[Otolarynglolgy]:Ent_19, Tumor of Nose and Paranasal Sinuses,藍敏瑛",10/4/2023,三,13:20,10/4/2023,14:10,FALSE,FALSE,10/12/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,藍敏瑛
"[Otolarynglolgy]:Ent_20, Tumor of Nose and Paranasal Sinuses,藍敏瑛",10/4/2023,三,14:20,10/4/2023,15:10,FALSE,FALSE,10/12/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,藍敏瑛
"[Otolarynglolgy]:Ent_03, Diseases of the Nasopharynx and Related Areas,葉建甫",10/4/2023,三,15:30,10/4/2023,16:20,FALSE,FALSE,10/12/2005,下午 03:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,葉建甫
"[Otolarynglolgy]:Ent_04, Diseases of the Nasopharynx and Related Areas,葉建甫",10/4/2023,三,16:30,10/4/2023,17:20,FALSE,FALSE,10/12/2005,下午 04:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,葉建甫
"[Rehabilitation Medicine]:CV_lec_13, Cardio-pulmonary rehabilitation,林克隆",10/5/2023,四,9:00,10/5/2023,9:50,FALSE,FALSE,10/13/2005,上午 08:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,林克隆
"[Pharmacology]:CV_lec_25, Antihypertensive drugs,黃金洲",10/5/2023,四,10:10,10/5/2023,11:00,FALSE,FALSE,10/13/2005,上午 09:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,黃金洲
"[Pharmacology]:CV_lec_15, Drugs for angina pectoris,梁耀仁",10/5/2023,四,11:10,10/5/2023,12:00,FALSE,FALSE,10/13/2005,上午 10:55:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,梁耀仁
基礎臨床技能訓練課程,10/5/2023,四,13:20,10/5/2023,14:10,FALSE,FALSE,10/13/2005,下午 01:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
基礎臨床技能訓練課程,10/5/2023,四,14:20,10/5/2023,15:10,FALSE,FALSE,10/13/2005,下午 02:15:00,,,,,,FALSE,,,普通,,普通,93學年醫三課程,2,
